TIPO,ID_PRUEBA,GRUPO,PRUEBA,ANALISIS,ID_REFERENCIA,POBLACION_ID,SEXO,VALOR_MIN,VALOR_MAX,UNIDAD,ID_TIPO_RESULTADO
simple,107,"Perfil Tiroideo",T3,T3,737,6,ambos,0.75,2.1,ng/dL,3
simple,107,"Perfil Tiroideo",T3,T3,738,7,ambos,0.75,2.1,ng/dL,3
simple,107,"Perfil Tiroideo",T3,T3,739,8,ambos,0.75,2.1,ng/dL,3
simple,107,"Perfil Tiroideo",T3,T3,740,9,ambos,0.75,2.1,ng/dL,3
simple,107,"Perfil Tiroideo",T3,T3,741,10,ambos,0.75,2.1,ng/dL,3
simple,107,"Perfil Tiroideo",T3,T3,742,11,ambos,0.75,2.1,ng/dL,3
simple,107,"Perfil Tiroideo",T3,T3,743,12,ambos,0.75,2.1,ng/dL,3
simple,108,"Perfil Tiroideo",T4,T4,744,6,ambos,0.9,1.75,ng/dL,3
simple,111,"Perfil Tiroideo","T4 Libre","T4 Libre",765,6,ambos,0.9,1.75,ng/dL,3
simple,108,"Perfil Tiroideo",T4,T4,745,7,ambos,0.9,1.75,ng/dL,3
simple,111,"Perfil Tiroideo","T4 Libre","T4 Libre",766,7,ambos,0.9,1.75,ng/dL,3
simple,108,"Perfil Tiroideo",T4,T4,746,8,ambos,0.9,1.75,ng/dL,3
simple,111,"Perfil Tiroideo","T4 Libre","T4 Libre",767,8,ambos,0.9,1.75,ng/dL,3
simple,108,"Perfil Tiroideo",T4,T4,747,9,ambos,0.9,1.75,ng/dL,3
simple,111,"Perfil Tiroideo","T4 Libre","T4 Libre",768,9,ambos,0.9,1.75,ng/dL,3
simple,108,"Perfil Tiroideo",T4,T4,748,10,ambos,0.9,1.75,ng/dL,3
simple,111,"Perfil Tiroideo","T4 Libre","T4 Libre",769,10,ambos,0.9,1.75,ng/dL,3
simple,108,"Perfil Tiroideo",T4,T4,749,11,ambos,0.9,1.75,ng/dL,3
simple,111,"Perfil Tiroideo","T4 Libre","T4 Libre",770,11,ambos,0.9,1.75,ng/dL,3
simple,108,"Perfil Tiroideo",T4,T4,750,12,ambos,0.9,1.75,ng/dL,3
simple,111,"Perfil Tiroideo","T4 Libre","T4 Libre",771,12,ambos,0.9,1.75,ng/dL,3
simple,109,"Perfil Tiroideo",TSH,TSH,751,6,ambos,0.3,4.5,uUI/ml,3
simple,110,"Perfil Tiroideo","TSH Neonatal","TSH Neonatal",758,6,ambos,0.3,4.5,uUI/ml,3
simple,109,"Perfil Tiroideo",TSH,TSH,752,7,ambos,0.3,4.5,uUI/ml,3
simple,110,"Perfil Tiroideo","TSH Neonatal","TSH Neonatal",759,7,ambos,0.3,4.5,uUI/ml,3
simple,109,"Perfil Tiroideo",TSH,TSH,753,8,ambos,0.3,4.5,uUI/ml,3
simple,110,"Perfil Tiroideo","TSH Neonatal","TSH Neonatal",760,8,ambos,0.3,4.5,uUI/ml,3
simple,109,"Perfil Tiroideo",TSH,TSH,754,9,ambos,0.3,4.5,uUI/ml,3
